"Title","Address1","Address2","Address3","Postcode","GRO LAID","URL"
"Bedfordshire County Council - Register Office","Town Hall","Cauldwell Street","Bedford","MK42 9AP",9,"http://www.bedfordshire.gov.uk/AdviceAndBenefits/RegistrationOfBirthsMarriagesAndDeaths/RegistrationOfBirthsMarriagesAndDeaths.aspx"
"Buckinghamshire County Council - Register Office","County Hall","Walton Street","Aylesbury","HP20 1XF",11,"http://www.buckscc.gov.uk/registration/index.stm"
"Cambridgeshire County Council - Register Office","Shire Hall","Castle Hill","Cambridge","CB3 0A",12,"http://www.cambridgeshire.gov.uk/community/bmd/"
"Cornwall Council - Register Office","County Hall","Treyew Road","Truro","TR1 3AY",15,"http://www.cornwall.gov.uk/registration"
"Cumbria County Council - Register Office","The Courts","English Street","Carlisle","CA3 8NA",16,"http://www.cumbria.gov.uk/registration/wheretofindus/default.asp"
"Derbyshire County Council - Register Office","County Hall","Matlock",,"DE4 3A",17,"http://www.derbyshire.gov.uk/community/births_marriages_deaths/"
"Devon County Council - Register Office","County Hall","Exeter","Devon","EX2 4QD",18,"http://www.devon.gov.uk/index/community/the_people/registration_districts_in_devon.htm"
"Dorset County Council - Register Office","County Hall","Colliton Park","Dorchester","DT1 1XJ",19,"http://www.dorsetforyou.com/index.jsp?articleid=384327"
"Durham Council - Register Office","40 Old Elvet","Durham City",,"DH1 3HN",20,"http://www.durham.gov.uk/durhamcc/usp.nsf/pws/Registrar+-+Register+Office+locations+and+contact+details"
"East Sussex County Council - Register Office","County Hall","St. Annes Cresent","Lewes","BN7 1UE",21,"http://www.eastsussex.gov.uk/community/"
"Essex County Council - Register Office","17 Market Road","Chelmsford",,"CM1 IGF",22,"http://www.essexcc.gov.uk/vip8/ecc/ECCWebsite/display/channels/births_marriages_deaths_channel_640771_Living/contacts/index.jsp"
"Gloucestershire County Council - Register Office","Shire Hall","Westgate Street","Gloucester","GL1 2TG",23,"http://www.gloucestershire.gov.uk/index.cfm?ArticleID=150"
"Hampshire County Council - Register Office","The Castle","Winchester","Hampshire","SO23 8ZB",24,"http://www3.hants.gov.uk/registration/registration-contact.htm"
"Hertfordshire County Council - Register Office","19b St Albans Road East","Hatfield","Hertfordshire","AL10 0NG",26,"http://www.hertsdirect.org/comdirectory/register/contactreg/"
"Kent County Council - Register Office","Invicta House","County Hall","Maidstone","ME14 1XX",29,"http://www.kent.gov.uk/Community/births-marriages-and-deaths/our-services/local-offices/"
"Lancashire County Council - Register Office","Bow Lane","PRESTON",,"PR1 8SE",30,"http://www.lancashire.gov.uk/acs/sites/registration/contact/index.asp"
"Leicestershire County Council - Register Office","County Hall","Glenfield","Leicester","LE3 8RN",31,"http://www.leicestershire.gov.uk/registration_services"
"Lincolnshire County Council - Register Office","4 Lindum Road","Lincoln",,"LN2 1NN",32,"http://www.lincolnshire.gov.uk/index.asp?catId=2944"
